# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: GMT+1
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 06.69m,0000185480Hz,0000000000c,0000000.000s, 018.6C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Almendralejo calima despejado (tarde)
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-03-24T18:19:31.507;2024-03-24T19:19:31.507;18.6;0;185480;6.69
2024-03-24T18:19:32.037;2024-03-24T19:19:32.037;18.6;0;185032;6.70
2024-03-24T18:19:33.041;2024-03-24T19:19:33.041;18.6;0;185032;6.70
2024-03-24T18:19:34.033;2024-03-24T19:19:34.033;18.6;0;184576;6.70
2024-03-24T18:19:35.039;2024-03-24T19:19:35.039;18.6;0;184576;6.70
2024-03-24T18:19:36.048;2024-03-24T19:19:36.048;18.6;0;184221;6.70
2024-03-24T18:19:37.037;2024-03-24T19:19:37.037;18.6;0;184221;6.70
2024-03-24T18:19:38.046;2024-03-24T19:19:38.046;18.6;0;183760;6.70
2024-03-24T18:19:39.036;2024-03-24T19:19:39.036;18.6;0;183760;6.70
2024-03-24T18:19:40.045;2024-03-24T19:19:40.045;18.6;0;183321;6.70
2024-03-24T18:19:41.036;2024-03-24T19:19:41.036;18.6;0;183321;6.70
2024-03-24T18:19:42.042;2024-03-24T19:19:42.042;18.6;0;182883;6.71
2024-03-24T18:19:43.032;2024-03-24T19:19:43.032;18.6;0;182883;6.71
2024-03-24T18:19:44.040;2024-03-24T19:19:44.040;18.6;0;182426;6.71
2024-03-24T18:19:45.045;2024-03-24T19:19:45.045;18.6;0;182426;6.71
2024-03-24T18:19:46.039;2024-03-24T19:19:46.039;18.6;0;181951;6.71
2024-03-24T18:19:47.048;2024-03-24T19:19:47.048;18.6;0;181951;6.71
2024-03-24T18:19:48.035;2024-03-24T19:19:48.035;18.6;0;181543;6.71
2024-03-24T18:19:49.043;2024-03-24T19:19:49.043;18.6;0;181543;6.71
2024-03-24T18:19:50.034;2024-03-24T19:19:50.034;18.6;0;181135;6.72
2024-03-24T18:19:51.040;2024-03-24T19:19:51.040;18.6;0;181135;6.72
2024-03-24T18:19:52.034;2024-03-24T19:19:52.034;18.6;0;180709;6.72
2024-03-24T18:19:53.038;2024-03-24T19:19:53.038;18.6;0;180709;6.72
2024-03-24T18:19:54.031;2024-03-24T19:19:54.031;18.6;0;180266;6.72
2024-03-24T18:19:55.039;2024-03-24T19:19:55.039;18.6;0;180266;6.72
2024-03-24T18:19:56.050;2024-03-24T19:19:56.050;18.6;0;179842;6.73
2024-03-24T18:19:57.036;2024-03-24T19:19:57.036;18.6;0;179842;6.73
2024-03-24T18:19:58.042;2024-03-24T19:19:58.042;18.6;0;179397;6.73
2024-03-24T18:19:59.033;2024-03-24T19:19:59.033;18.6;0;179397;6.73
2024-03-24T18:20:00.040;2024-03-24T19:20:00.040;18.6;0;178971;6.73
2024-03-24T18:20:01.049;2024-03-24T19:20:01.049;18.6;0;178971;6.73
2024-03-24T18:20:02.039;2024-03-24T19:20:02.039;18.6;0;178555;6.73
2024-03-24T18:20:03.046;2024-03-24T19:20:03.046;18.6;0;178555;6.73
2024-03-24T18:20:04.039;2024-03-24T19:20:04.039;18.6;0;178101;6.74
2024-03-24T18:20:05.046;2024-03-24T19:20:05.046;18.6;0;178101;6.74
2024-03-24T18:20:06.037;2024-03-24T19:20:06.037;18.6;0;177649;6.74
2024-03-24T18:20:07.044;2024-03-24T19:20:07.044;18.6;0;177649;6.74
2024-03-24T18:20:08.035;2024-03-24T19:20:08.035;18.6;0;177220;6.74
2024-03-24T18:20:09.041;2024-03-24T19:20:09.041;18.6;0;177220;6.74
2024-03-24T18:20:10.033;2024-03-24T19:20:10.033;18.6;0;176773;6.75
2024-03-24T18:20:11.038;2024-03-24T19:20:11.038;18.6;0;176773;6.75
2024-03-24T18:20:12.047;2024-03-24T19:20:12.047;18.6;0;176331;6.75
2024-03-24T18:20:13.037;2024-03-24T19:20:13.037;18.6;0;176331;6.75
2024-03-24T18:20:14.044;2024-03-24T19:20:14.044;18.6;0;175896;6.75
2024-03-24T18:20:15.035;2024-03-24T19:20:15.035;18.6;0;175896;6.75
2024-03-24T18:20:16.042;2024-03-24T19:20:16.042;18.6;0;175452;6.75
2024-03-24T18:20:17.033;2024-03-24T19:20:17.033;18.6;0;175452;6.75
2024-03-24T18:20:18.045;2024-03-24T19:20:18.045;18.6;0;175018;6.76
2024-03-24T18:20:19.031;2024-03-24T19:20:19.031;18.6;0;175018;6.76
2024-03-24T18:20:20.040;2024-03-24T19:20:20.040;18.6;0;174590;6.76
2024-03-24T18:20:21.029;2024-03-24T19:20:21.029;18.6;0;174590;6.76
