# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 36
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU
# Instrument ID: 
# Data supplier: 
# Location name: badajoz
# Position (lat, lon, elev(m)): 
# Local timezone: Europe/Madrid
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 2328
# SQM hardware identity: FTB3LBET
# SQM firmware version: 4-3-25
# SQM cover offset value: 
# SQM readout test ix: i,00000004,00000003,00000025,00002328
# SQM readout test rx: r, 00.00m,0000614400Hz,0000000000c,0000000.000s, 017.4C
# SQM readout test cx: c,00000019.86m,0000136.056s, 020.9C,00000008.71m, 020.3C
# Comment: Badajoz cielo despejado. Ayer llovio.
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.253
# UDM setting: Logged continuously every 1 second,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-04-08T18:01:54.324;2024-04-08T20:01:54.324;17.4;0;614400;0.00
2024-04-08T18:01:55.042;2024-04-08T20:01:55.042;17.4;0;614400;0.00
2024-04-08T18:01:56.033;2024-04-08T20:01:56.033;17.4;0;614400;0.00
2024-04-08T18:01:57.041;2024-04-08T20:01:57.041;17.4;0;614400;0.00
2024-04-08T18:01:58.032;2024-04-08T20:01:58.032;17.4;0;614400;0.00
2024-04-08T18:01:59.040;2024-04-08T20:01:59.040;17.4;0;614400;0.00
2024-04-08T18:02:00.032;2024-04-08T20:02:00.032;17.4;0;614400;0.00
2024-04-08T18:02:01.039;2024-04-08T20:02:01.039;17.4;0;614400;0.00
2024-04-08T18:02:02.047;2024-04-08T20:02:02.047;17.4;0;614400;0.00
2024-04-08T18:02:03.035;2024-04-08T20:02:03.035;17.4;0;614400;0.00
2024-04-08T18:02:04.045;2024-04-08T20:02:04.045;17.4;0;614400;0.00
2024-04-08T18:02:05.034;2024-04-08T20:02:05.034;17.4;0;614400;0.00
2024-04-08T18:02:06.044;2024-04-08T20:02:06.044;17.4;0;614400;0.00
2024-04-08T18:02:07.035;2024-04-08T20:02:07.035;17.4;0;614400;0.00
2024-04-08T18:02:08.044;2024-04-08T20:02:08.044;17.4;0;614400;0.00
2024-04-08T18:02:09.034;2024-04-08T20:02:09.034;17.4;0;614400;0.00
2024-04-08T18:02:10.049;2024-04-08T20:02:10.049;17.4;0;614400;0.00
2024-04-08T18:02:11.047;2024-04-08T20:02:11.047;17.4;0;614400;0.00
2024-04-08T18:02:12.038;2024-04-08T20:02:12.038;17.4;0;614400;0.00
2024-04-08T18:02:13.044;2024-04-08T20:02:13.044;17.4;0;614400;0.00
2024-04-08T18:02:14.075;2024-04-08T20:02:14.075;17.4;0;614400;0.00
2024-04-08T18:02:15.047;2024-04-08T20:02:15.047;17.4;0;614400;0.00
2024-04-08T18:02:16.039;2024-04-08T20:02:16.039;17.4;0;614400;0.00
2024-04-08T18:02:17.049;2024-04-08T20:02:17.049;17.4;0;614400;0.00
2024-04-08T18:02:18.038;2024-04-08T20:02:18.038;17.4;0;614400;0.00
2024-04-08T18:02:19.045;2024-04-08T20:02:19.045;17.4;0;614400;0.00
2024-04-08T18:02:20.041;2024-04-08T20:02:20.041;17.4;0;614400;0.00
2024-04-08T18:02:21.044;2024-04-08T20:02:21.044;17.4;0;614400;0.00
2024-04-08T18:02:22.051;2024-04-08T20:02:22.051;17.4;0;614400;0.00
2024-04-08T18:02:23.068;2024-04-08T20:02:23.068;17.4;0;614400;0.00
2024-04-08T18:02:24.047;2024-04-08T20:02:24.047;17.4;0;614400;0.00
2024-04-08T18:02:25.041;2024-04-08T20:02:25.041;17.4;0;614400;0.00
2024-04-08T18:02:26.054;2024-04-08T20:02:26.054;17.4;0;614400;0.00
2024-04-08T18:02:27.038;2024-04-08T20:02:27.038;17.4;0;614400;0.00
2024-04-08T18:02:28.048;2024-04-08T20:02:28.048;17.4;0;614400;0.00
2024-04-08T18:02:29.040;2024-04-08T20:02:29.040;17.4;0;614400;0.00
2024-04-08T18:02:30.029;2024-04-08T20:02:30.029;17.4;0;614400;0.00
2024-04-08T18:02:31.036;2024-04-08T20:02:31.036;17.4;0;614400;0.00
2024-04-08T18:02:32.046;2024-04-08T20:02:32.046;17.4;0;614400;0.00
2024-04-08T18:02:33.037;2024-04-08T20:02:33.037;17.4;0;614400;0.00
2024-04-08T18:02:34.026;2024-04-08T20:02:34.026;17.4;0;614400;0.00
2024-04-08T18:02:35.068;2024-04-08T20:02:35.068;17.4;0;614400;0.00
2024-04-08T18:02:36.044;2024-04-08T20:02:36.044;17.4;0;614400;0.00
2024-04-08T18:02:37.036;2024-04-08T20:02:37.036;17.4;0;614400;0.00
2024-04-08T18:02:38.041;2024-04-08T20:02:38.041;17.4;0;614400;0.00
2024-04-08T18:02:39.056;2024-04-08T20:02:39.056;17.4;0;614400;0.00
2024-04-08T18:02:40.042;2024-04-08T20:02:40.042;17.4;0;614400;0.00
2024-04-08T18:02:41.048;2024-04-08T20:02:41.048;17.4;0;614400;0.00
2024-04-08T18:02:42.041;2024-04-08T20:02:42.041;17.4;0;614400;0.00
2024-04-08T18:02:43.032;2024-04-08T20:02:43.032;17.4;0;614400;0.00
2024-04-08T18:02:44.039;2024-04-08T20:02:44.039;17.4;0;614400;0.00
2024-04-08T18:02:45.047;2024-04-08T20:02:45.047;17.4;0;614400;0.00
2024-04-08T18:02:46.038;2024-04-08T20:02:46.038;17.4;0;614400;0.00
2024-04-08T18:02:47.046;2024-04-08T20:02:47.046;17.4;0;614400;0.00
2024-04-08T18:02:48.036;2024-04-08T20:02:48.036;17.4;0;614400;0.00
2024-04-08T18:02:49.045;2024-04-08T20:02:49.045;17.4;0;614400;0.00
2024-04-08T18:02:50.037;2024-04-08T20:02:50.037;17.4;0;614400;0.00
2024-04-08T18:02:51.051;2024-04-08T20:02:51.051;17.4;0;614400;0.00
2024-04-08T18:02:52.035;2024-04-08T20:02:52.035;17.4;0;614400;0.00
2024-04-08T18:02:53.042;2024-04-08T20:02:53.042;17.4;0;614400;0.00
2024-04-08T18:02:54.035;2024-04-08T20:02:54.035;17.4;0;614400;0.00
2024-04-08T18:02:55.042;2024-04-08T20:02:55.042;17.4;0;614400;0.00
2024-04-08T18:02:56.033;2024-04-08T20:02:56.033;17.4;0;614400;0.00
2024-04-08T18:02:57.044;2024-04-08T20:02:57.044;17.4;0;614400;0.00
2024-04-08T18:02:58.052;2024-04-08T20:02:58.052;17.4;0;614400;0.00
2024-04-08T18:02:59.051;2024-04-08T20:02:59.051;17.4;0;614400;0.00
2024-04-08T18:03:00.048;2024-04-08T20:03:00.048;17.4;0;614400;0.00
2024-04-08T18:03:01.036;2024-04-08T20:03:01.036;17.4;0;614400;0.00
2024-04-08T18:03:02.049;2024-04-08T20:03:02.049;17.4;0;614400;0.00
2024-04-08T18:03:03.035;2024-04-08T20:03:03.035;17.4;0;614400;0.00
2024-04-08T18:03:04.045;2024-04-08T20:03:04.045;17.4;0;614400;0.00
2024-04-08T18:03:05.036;2024-04-08T20:03:05.036;17.4;0;614400;0.00
